"Date","Circulating Marketcap"
"2020-05-17","2495074560.8689237"
"2020-05-16","2443226287.151592"
"2020-05-15","2548025445.817553"
"2020-05-14","2524331435.6055527"
"2020-05-13","2453348435.1283193"
"2020-05-12","2354454288.496631"
"2020-05-11","2395605361.1645226"
"2020-05-10","2621856750.9507723"
"2020-05-09","2666154176.230743"
"2020-05-08","2644746061.491337"
"2020-05-07","2548199272.773668"
"2020-05-06","2630730857.939988"
"2020-05-05","2652288951.895532"
"2020-05-04","2664274355.8835692"
"2020-05-03","2727891430.664318"
"2020-05-02","2714948503.880471"
"2020-05-01","2649732729.351091"
"2020-04-30","2703898800.408887"
"2020-04-29","2546088252.6135864"
"2020-04-28","2556854543.2108994"
"2020-04-27","2550315706.2463984"
"2020-04-26","2525868678.5148273"
"2020-04-25","2476920485.869033"
"2020-04-24","2498965862.777886"
"2020-04-23","2447418352.2017"
"2020-04-22","2354151636.9129643"
"2020-04-21","2328863401.159502"
"2020-04-20","2502171293.493508"
"2020-04-19","2590680787.9647765"
"2020-04-18","2437445776.571396"
"2020-04-17","2448377393.722791"
"2020-04-16","2264367142.5323434"
"2020-04-15","2429992716.2517724"
"2020-04-14","2343543837.882557"
"2020-04-13","2220457486.394625"
"2020-04-12","2154232770.546174"
"2020-04-11","2140014556.6876967"
"2020-04-10","2334244892.9657636"
"2020-04-09","2349091954.56672"
"2020-04-08","2289683783.3363132"
"2020-04-07","2363018316.5491586"
"2020-04-06","2130517987.8223672"
"2020-04-05","2147688039.6740828"
"2020-04-04","2080869117.301831"
"2020-04-03","2026695926.923169"
"2020-04-02","1988361614.6648376"
"2020-04-01","1955060540.224382"
